Gemeinde,PaxGas,PaxElektrizität,PaxÖl,PaxKeine,PaxUnbestimmt,PaxWeitere
Marchissy,44.0,79.0,213.0,0.0,48.0,117.0
Marly,1320.0,789.0,3068.0,6.0,2052.0,1055.0
Marsens,140.0,70.0,639.0,5.0,646.0,573.0
Marthalen,2.0,102.0,781.0,0.0,561.0,500.0
Martigny,3297.0,1921.0,5315.0,43.0,3614.0,6376.0
Martigny-Combe,5.0,851.0,596.0,5.0,517.0,389.0
Maschwanden,0.0,20.0,216.0,0.0,200.0,215.0
Masein,0.0,28.0,97.0,4.0,225.0,149.0
Massagno,993.0,233.0,4065.0,6.0,648.0,764.0
Massongex,595.0,350.0,582.0,0.0,313.0,164.0
Massonnens,0.0,30.0,190.0,0.0,231.0,138.0
Mathod,239.0,96.0,174.0,0.0,114.0,37.0
Matran,434.0,184.0,306.0,0.0,476.0,275.0
Matten bei Interlaken,548.0,181.0,1935.0,2.0,873.0,527.0
Mattstetten,0.0,37.0,322.0,0.0,72.0,157.0
Matzendorf,8.0,65.0,737.0,0.0,337.0,251.0
Matzingen,1029.0,150.0,984.0,0.0,572.0,332.0
Mauborget,11.0,22.0,43.0,0.0,11.0,57.0
Mauensee,19.0,29.0,409.0,0.0,820.0,270.0
Maur,579.0,416.0,5313.0,16.0,3306.0,1181.0
Mauraz,28.0,0.0,21.0,0.0,0.0,5.0
Medel (Lucmagn),0.0,42.0,40.0,4.0,43.0,219.0
Meggen,1167.0,234.0,2532.0,55.0,2817.0,1007.0
Meienried,0.0,0.0,37.0,0.0,2.0,17.0
Meierskappel,25.0,108.0,546.0,12.0,436.0,497.0
Meikirch,7.0,187.0,991.0,11.0,469.0,811.0
Meilen,3706.0,570.0,5486.0,37.0,3870.0,1046.0
Meinier,401.0,71.0,1283.0,0.0,125.0,230.0
Meinisberg,10.0,62.0,758.0,3.0,378.0,133.0
Meiringen,14.0,63.0,2429.0,4.0,959.0,1270.0
Meisterschwanden,8.0,136.0,1361.0,11.0,1114.0,506.0
Melchnau,6.0,55.0,452.0,3.0,273.0,738.0
Melide,93.0,287.0,1031.0,0.0,338.0,81.0
Mellikon,0.0,11.0,146.0,0.0,22.0,44.0
Mellingen,136.0,556.0,3228.0,16.0,1093.0,957.0
Mels,920.0,136.0,4153.0,168.0,1693.0,2169.0
Meltingen,0.0,18.0,416.0,0.0,113.0,125.0
Mendrisio,1968.0,1725.0,8336.0,15.0,2334.0,565.0
Menziken,122.0,387.0,4569.0,45.0,2080.0,566.0
Menzingen,3.0,252.0,2495.0,2.0,584.0,1295.0
Menznau,3.0,110.0,1149.0,0.0,760.0,1031.0
Merenschwand,39.0,83.0,1645.0,0.0,1254.0,717.0
Mergoscia,2.0,59.0,37.0,12.0,35.0,74.0
Merishausen,8.0,42.0,293.0,0.0,257.0,268.0
Mervelier,0.0,40.0,285.0,0.0,84.0,137.0
Merzligen,0.0,35.0,157.0,1.0,79.0,119.0
Mesocco,2.0,956.0,183.0,4.0,87.0,176.0
Messen,3.0,58.0,700.0,0.0,264.0,460.0
Mettauertal,7.0,124.0,706.0,16.0,627.0,672.0
Mettembert,0.0,0.0,66.0,0.0,11.0,37.0
Mettmenstetten,92.0,149.0,1707.0,35.0,2805.0,827.0
Metzerlen-Mariastein,0.0,35.0,489.0,0.0,292.0,147.0
Mex (VD),297.0,90.0,146.0,0.0,153.0,114.0
Meyriez,0.0,11.0,273.0,0.0,151.0,102.0
Meyrin,5191.0,244.0,14471.0,0.0,1983.0,4464.0
Mezzovico-Vira,38.0,270.0,587.0,2.0,445.0,44.0
Mies,96.0,352.0,1101.0,2.0,476.0,199.0
Miglieglia,6.0,70.0,117.0,0.0,83.0,63.0
Milvignes,3574.0,23.0,2762.0,45.0,1211.0,1634.0
Minusio,53.0,1198.0,3936.0,0.0,1752.0,428.0
Mirchel,0.0,8.0,214.0,14.0,173.0,201.0
Misery-Courtion,13.0,175.0,731.0,0.0,1003.0,385.0
Missy,4.0,25.0,174.0,7.0,118.0,70.0
Moiry,5.0,27.0,78.0,0.0,53.0,144.0
Mollens (VD),117.0,38.0,97.0,0.0,18.0,64.0
Molondin,3.0,21.0,114.0,0.0,35.0,70.0
Mont-Noble,7.0,349.0,413.0,4.0,123.0,323.0
Mont-Tramelan,0.0,0.0,28.0,0.0,0.0,91.0
Mont-Vully,87.0,206.0,1456.0,15.0,1635.0,992.0
Mont-la-Ville,96.0,55.0,174.0,0.0,106.0,85.0
Mont-sur-Rolle,1229.0,204.0,831.0,2.0,195.0,197.0
Montagny (FR),24.0,168.0,999.0,0.0,1046.0,694.0
Montagny-près-Yverdon,250.0,118.0,241.0,4.0,100.0,55.0
Montanaire,693.0,210.0,960.0,0.0,363.0,599.0
Montcherand,234.0,44.0,122.0,0.0,36.0,69.0
Monteceneri,381.0,339.0,2445.0,6.0,1212.0,256.0
Montet (Glâne),0.0,26.0,168.0,0.0,172.0,115.0
Montfaucon,0.0,20.0,302.0,2.0,96.0,180.0
Monthey,7838.0,2062.0,5020.0,0.0,1456.0,1763.0
Montilliez,719.0,192.0,561.0,0.0,211.0,210.0
Montpreveyres,26.0,41.0,332.0,0.0,156.0,114.0
Montreux,15071.0,288.0,8546.0,101.0,868.0,1134.0
Montricher,252.0,143.0,312.0,0.0,74.0,217.0
Moosleerau,58.0,116.0,362.0,0.0,214.0,167.0
Moosseedorf,1649.0,113.0,1206.0,3.0,685.0,452.0
Morbio Inferiore,1485.0,364.0,1736.0,0.0,629.0,92.0
Morcote,6.0,174.0,372.0,2.0,157.0,37.0
Morges,7650.0,712.0,5412.0,32.0,1209.0,1666.0
Morlon,34.0,15.0,242.0,0.0,169.0,207.0
Morrens (VD),144.0,215.0,430.0,0.0,295.0,91.0
Morschach,8.0,120.0,494.0,3.0,189.0,375.0
Mosnang,0.0,68.0,631.0,0.0,805.0,1523.0
Moudon,2335.0,384.0,2642.0,3.0,287.0,506.0
Moutier,39.0,152.0,5502.0,7.0,744.0,845.0
Movelier,0.0,38.0,227.0,0.0,49.0,118.0
Muhen,574.0,298.0,1541.0,2.0,1125.0,521.0
Mumpf,0.0,66.0,878.0,0.0,509.0,106.0
Muntelier,168.0,116.0,288.0,2.0,225.0,148.0
Muntogna da Schons,0.0,17.0,44.0,0.0,64.0,270.0
Muolen,20.0,64.0,434.0,4.0,222.0,531.0
Muotathal,0.0,122.0,1118.0,3.0,154.0,2146.0
Muralto,4.0,366.0,1669.0,0.0,424.0,158.0
Murgenthal,77.0,151.0,1641.0,0.0,791.0,398.0
Muri (AG),0.0,369.0,3512.0,59.0,2446.0,2024.0
Muri bei Bern,3861.0,493.0,5474.0,48.0,2299.0,1039.0
Muriaux,7.0,33.0,335.0,0.0,29.0,154.0
Murten,246.0,341.0,3751.0,11.0,2660.0,2442.0
Mutrux,0.0,6.0,88.0,0.0,10.0,49.0
Muttenz,8295.0,121.0,3725.0,2693.0,16.0,3044.0
Muzzano,160.0,109.0,323.0,2.0,172.0,31.0
Mägenwil,493.0,104.0,815.0,7.0,513.0,226.0
Männedorf,3806.0,629.0,3619.0,15.0,2657.0,709.0
Märstetten,1036.0,48.0,942.0,5.0,409.0,522.0
Ménières,18.0,16.0,135.0,0.0,190.0,82.0
Mézières (FR),11.0,51.0,439.0,3.0,365.0,255.0
Möhlin,240.0,428.0,5442.0,5.0,2604.0,2455.0
Mönchaltorf,74.0,125.0,1472.0,3.0,2002.0,462.0
Mönthal,0.0,32.0,172.0,3.0,77.0,114.0
Mörel-Filet,3.0,205.0,275.0,3.0,79.0,173.0
Mörigen,4.0,84.0,481.0,0.0,179.0,154.0
Möriken-Wildegg,750.0,217.0,1371.0,28.0,530.0,1763.0
Mörschwil,22.0,109.0,1503.0,3.0,1551.0,465.0
Mühlau,4.0,32.0,541.0,0.0,378.0,308.0
Mühleberg,19.0,353.0,1386.0,2.0,495.0,838.0
Müllheim,1229.0,52.0,940.0,0.0,424.0,548.0
Mülligen,200.0,60.0,411.0,0.0,269.0,146.0
Mümliswil-Ramiswil,6.0,84.0,1410.0,7.0,447.0,459.0
Münchenbuchsee,340.0,148.0,6546.0,29.0,1660.0,1767.0
Münchenstein,5891.0,117.0,2504.0,1660.0,24.0,2020.0
Münchenwiler,2.0,21.0,280.0,0.0,205.0,55.0
Münchwilen (AG),0.0,73.0,488.0,0.0,278.0,169.0
Münchwilen (TG),1719.0,150.0,2065.0,24.0,874.0,1046.0
Münsingen,18.0,253.0,5485.0,5.0,2594.0,4722.0
Münsterlingen,866.0,68.0,1409.0,0.0,713.0,450.0
Müntschemier,0.0,40.0,763.0,11.0,524.0,265.0
Naters,220.0,821.0,6047.0,43.0,2318.0,1052.0
Nebikon,55.0,149.0,1464.0,0.0,797.0,353.0
Neckertal,31.0,328.0,1705.0,31.0,1428.0,3169.0
Neerach,0.0,246.0,1526.0,0.0,1238.0,256.0
Neftenbach,0.0,97.0,2342.0,9.0,2843.0,550.0
Neggio,1.0,81.0,164.0,1.0,48.0,27.0
Nendaz,484.0,1724.0,2509.0,1.0,1483.0,942.0
Nenzlingen,0.0,23.0,197.0,58.0,0.0,185.0
Nesslau,19.0,187.0,867.0,9.0,911.0,1965.0
Neuchâtel,17242.0,246.0,15778.0,7.0,8235.0,2988.0
Neuendorf,45.0,247.0,1009.0,0.0,816.0,230.0
Neuenegg,52.0,366.0,2791.0,7.0,1121.0,1330.0
Neuenhof,2185.0,410.0,4900.0,0.0,874.0,573.0
Neuenkirch,8.0,187.0,2675.0,0.0,2345.0,2048.0
Neuhausen am Rheinfall,4177.0,235.0,4301.0,5.0,910.0,930.0
Neuheim,0.0,243.0,1098.0,0.0,634.0,392.0
Neunforn,2.0,50.0,313.0,8.0,293.0,433.0
Neunkirch,12.0,77.0,1248.0,0.0,667.0,447.0
Neyruz (FR),153.0,246.0,959.0,0.0,826.0,632.0
Nidau,2630.0,87.0,3088.0,0.0,864.0,407.0
Niederbipp,254.0,198.0,2673.0,22.0,1056.0,1014.0
Niederbuchsiten,251.0,48.0,441.0,0.0,384.0,158.0
Niederbüren,0.0,26.0,527.0,7.0,390.0,629.0
Niederdorf,0.0,62.0,1041.0,219.0,0.0,467.0
Niedergesteln,6.0,70.0,364.0,0.0,165.0,126.0
Niederglatt,55.0,160.0,2983.0,0.0,1541.0,291.0
Niedergösgen,167.0,161.0,2417.0,6.0,822.0,498.0
Niederhasli,203.0,335.0,5372.0,0.0,2638.0,882.0
Niederhelfenschwil,805.0,54.0,809.0,7.0,996.0,556.0
Niederhünigen,0.0,13.0,282.0,15.0,162.0,258.0
Niederlenz,1532.0,150.0,1486.0,89.0,480.0,974.0
Niedermuhlern,0.0,14.0,184.0,0.0,93.0,235.0
Niederried bei Interlaken,0.0,14.0,163.0,5.0,85.0,92.0
Niederrohrdorf,51.0,225.0,1887.0,14.0,1885.0,321.0
Niederweningen,18.0,112.0,1085.0,7.0,1258.0,608.0
Niederwil (AG),16.0,79.0,1527.0,5.0,906.0,342.0
Niederönz,472.0,77.0,527.0,5.0,382.0,260.0
Noble-Contrée,1548.0,868.0,1146.0,0.0,880.0,251.0
Nods,10.0,69.0,376.0,3.0,153.0,212.0
Nottwil,5.0,88.0,1362.0,0.0,1983.0,685.0
Novaggio,2.0,212.0,420.0,2.0,165.0,58.0
Novalles,0.0,6.0,51.0,0.0,15.0,27.0
Novazzano,561.0,300.0,1022.0,0.0,333.0,121.0
Noville,124.0,94.0,461.0,2.0,323.0,198.0
Nuglar-St. Pantaleon,0.0,97.0,794.0,3.0,320.0,320.0
Nunningen,5.0,77.0,1118.0,5.0,414.0,355.0
Nusshof,0.0,10.0,60.0,48.0,0.0,146.0
Nuvilly,3.0,60.0,132.0,0.0,160.0,109.0
Nyon,10540.0,482.0,8260.0,38.0,1262.0,1518.0
Nürensdorf,39.0,201.0,2659.0,0.0,1866.0,974.0
Oberbalm,0.0,35.0,195.0,0.0,72.0,603.0
Oberbipp,33.0,60.0,891.0,25.0,502.0,310.0
Oberbuchsiten,371.0,91.0,850.0,0.0,757.0,213.0
Oberburg,801.0,74.0,824.0,2.0,475.0,739.0
Oberbüren,687.0,37.0,1449.0,4.0,600.0,1769.0
Oberdiessbach,6.0,145.0,1655.0,6.0,904.0,877.0
Oberdorf (BL),0.0,109.0,1221.0,400.0,0.0,766.0
Oberdorf (NW),10.0,226.0,1324.0,0.0,680.0,870.0
Oberdorf (SO),451.0,121.0,660.0,0.0,334.0,290.0
Oberegg,400.0,40.0,527.0,4.0,313.0,727.0
Oberembrach,0.0,49.0,370.0,0.0,254.0,426.0
Oberems,0.0,45.0,15.0,0.0,16.0,64.0
Oberengstringen,1664.0,191.0,3530.0,6.0,932.0,512.0
Oberentfelden,2371.0,588.0,3217.0,23.0,1559.0,826.0
Obergerlafingen,615.0,51.0,358.0,22.0,231.0,67.0
Oberglatt,0.0,178.0,3974.0,25.0,2844.0,470.0
Obergoms,3.0,95.0,298.0,3.0,95.0,167.0
Obergösgen,530.0,116.0,1115.0,3.0,425.0,207.0
Oberhallau,0.0,16.0,161.0,0.0,128.0,147.0
Oberhof,0.0,8.0,168.0,4.0,202.0,198.0
Oberhofen am Thunersee,569.0,146.0,949.0,22.0,455.0,277.0
Oberhünigen,0.0,9.0,78.0,0.0,73.0,182.0
Oberiberg,0.0,176.0,367.0,0.0,135.0,240.0
Oberkirch,10.0,141.0,838.0,454.0,1995.0,1461.0
Oberkulm,6.0,135.0,1368.0,28.0,828.0,578.0
Oberlangenegg,12.0,31.0,140.0,0.0,69.0,286.0
Oberlunkhofen,3.0,12.0,1033.0,0.0,741.0,306.0
Obermumpf,5.0,36.0,492.0,0.0,379.0,146.0
Oberried am Brienzersee,0.0,14.0,207.0,4.0,89.0,136.0
Oberrieden,2048.0,177.0,1655.0,28.0,784.0,447.0
Oberriet (SG),1055.0,50.0,3889.0,10.0,1892.0,2275.0
Oberrohrdorf,6.0,203.0,2342.0,0.0,1134.0,390.0
Oberrüti,31.0,30.0,569.0,22.0,485.0,473.0
Obersaxen Mundaun,2.0,181.0,487.0,1.0,200.0,340.0
Obersiggenthal,889.0,188.0,4257.0,76.0,1300.0,2029.0
Oberthal,5.0,46.0,154.0,0.0,46.0,544.0
Oberuzwil,1891.0,197.0,1810.0,10.0,1914.0,910.0
Oberweningen,0.0,112.0,954.0,0.0,659.0,157.0
Oberwil (BL),4562.0,152.0,2251.0,2051.0,13.0,2090.0
Oberwil bei Büren,4.0,57.0,391.0,2.0,209.0,266.0
Oberwil im Simmental,0.0,41.0,225.0,2.0,56.0,540.0
Oberwil-Lieli,10.0,64.0,1165.0,2.0,932.0,387.0
Oberägeri,40.0,209.0,3213.0,7.0,1671.0,1404.0
Obfelden,348.0,263.0,2186.0,0.0,2420.0,563.0
Ochlenberg,7.0,7.0,76.0,3.0,98.0,400.0
Oekingen,7.0,28.0,374.0,0.0,370.0,104.0
Oensingen,1183.0,204.0,2526.0,0.0,920.0,1600.0
Oeschenbach,0.0,5.0,55.0,5.0,34.0,155.0
Oeschgen,12.0,39.0,412.0,4.0,441.0,199.0
Oetwil am See,7.0,98.0,2395.0,2.0,1406.0,1065.0
Oetwil an der Limmat,4.0,30.0,1506.0,0.0,851.0,132.0
Oftringen,3881.0,246.0,5674.0,20.0,3230.0,1829.0
Ogens,149.0,14.0,80.0,0.0,34.0,53.0
Ollon,3904.0,235.0,2501.0,13.0,669.0,754.0
Olsberg,0.0,23.0,127.0,0.0,98.0,91.0
Olten,8812.0,171.0,5870.0,5.0,2452.0,1023.0
Oltingen,3.0,11.0,95.0,60.0,0.0,342.0
Onex,4150.0,97.0,10623.0,0.0,1143.0,2605.0
Onnens (VD),6.0,30.0,254.0,6.0,117.0,89.0
Onsernone,4.0,355.0,124.0,9.0,66.0,225.0
Opfikon,3824.0,80.0,7611.0,51.0,3469.0,5982.0
Oppens,3.0,26.0,92.0,0.0,15.0,75.0
Oppligen,0.0,22.0,305.0,3.0,149.0,190.0
Orbe,4479.0,437.0,1573.0,14.0,360.0,664.0
Orges,12.0,32.0,160.0,0.0,114.0,57.0
Origlio,83.0,206.0,901.0,0.0,308.0,34.0
Ormalingen,0.0,51.0,783.0,277.0,0.0,1217.0
Ormont-Dessous,8.0,76.0,595.0,2.0,59.0,676.0
Ormont-Dessus,7.0,162.0,975.0,3.0,50.0,401.0
Orny,103.0,36.0,150.0,0.0,101.0,96.0
Oron,918.0,619.0,3004.0,2.0,978.0,663.0
Orpund,264.0,137.0,1598.0,32.0,796.0,407.0
Orselina,2.0,197.0,300.0,1.0,152.0,56.0
Orsières,17.0,1253.0,738.0,2.0,212.0,1104.0
Orvin,10.0,83.0,707.0,0.0,177.0,312.0
Orzens,0.0,16.0,135.0,0.0,18.0,37.0
Ossingen,3.0,38.0,510.0,0.0,502.0,677.0
Ostermundigen,3597.0,355.0,9152.0,8.0,3211.0,1764.0
Otelfingen,12.0,106.0,1435.0,0.0,1041.0,337.0
Othmarsingen,429.0,109.0,1331.0,3.0,804.0,367.0
Ottenbach,44.0,208.0,1009.0,0.0,1025.0,472.0
Oulens-sous-Echallens,22.0,37.0,324.0,2.0,139.0,96.0
Pailly,207.0,51.0,159.0,0.0,89.0,77.0
Paradiso,1055.0,210.0,2560.0,0.0,440.0,239.0
Paudex,765.0,35.0,502.0,0.0,177.0,40.0
Payerne,2083.0,618.0,5357.0,27.0,1379.0,806.0
Penthalaz,1816.0,351.0,679.0,0.0,139.0,227.0
Penthaz,1034.0,238.0,352.0,0.0,134.0,132.0
Penthéréaz,6.0,44.0,189.0,0.0,105.0,73.0
Perly-Certoux,1393.0,22.0,1501.0,2.0,148.0,43.0
Perrefitte,4.0,11.0,326.0,0.0,63.0,87.0
Perroy,785.0,49.0,437.0,6.0,172.0,72.0
Personico,4.0,137.0,105.0,1.0,66.0,16.0
Petit-Val,0.0,0.0,128.0,0.0,65.0,245.0
Pfaffnau,200.0,82.0,830.0,0.0,852.0,774.0
Pfeffingen,772.0,32.0,763.0,404.0,0.0,451.0
Pfungen,951.0,44.0,1470.0,0.0,1295.0,207.0
Pfyn,639.0,42.0,656.0,0.0,445.0,441.0
Pfäfers,2.0,30.0,661.0,4.0,181.0,719.0
Pfäffikon,725.0,371.0,6166.0,16.0,3111.0,2014.0
Pierrafortscha,8.0,11.0,82.0,0.0,38.0,54.0
Pieterlen,9.0,317.0,2224.0,19.0,1463.0,960.0
Plaffeien,2.0,315.0,1027.0,3.0,1179.0,1220.0
Plan-les-Ouates,5719.0,517.0,2745.0,0.0,1386.0,1355.0
Plasselb,4.0,156.0,375.0,2.0,231.0,259.0
Plateau de Diesse,22.0,127.0,1176.0,3.0,343.0,490.0
Pleigne,5.0,29.0,141.0,0.0,57.0,136.0
Pohlern,5.0,8.0,90.0,2.0,51.0,98.0
Poliez-Pittet,350.0,52.0,260.0,6.0,78.0,89.0
Pollegio,13.0,205.0,322.0,5.0,240.0,52.0
Pompaples,57.0,127.0,329.0,0.0,184.0,161.0
Pomy,314.0,77.0,303.0,0.0,94.0,67.0
Pont-en-Ogoz,29.0,146.0,685.0,2.0,585.0,570.0
Pont-la-Ville,10.0,77.0,197.0,1.0,201.0,141.0
Ponte Capriasca,36.0,331.0,1087.0,0.0,371.0,73.0
Ponthaux,8.0,43.0,312.0,0.0,303.0,120.0
Pontresina,0.0,30.0,1431.0,24.0,550.0,98.0
Porrentruy,20.0,254.0,2501.0,38.0,812.0,2865.0
Port,428.0,141.0,1352.0,7.0,768.0,1240.0
Port-Valais,889.0,748.0,1441.0,2.0,1058.0,258.0
Porza,420.0,115.0,641.0,2.0,361.0,86.0
Poschiavo,5.0,639.0,1006.0,4.0,627.0,1227.0
Prangins,1737.0,441.0,1356.0,0.0,453.0,143.0
Prato (Leventina),1.0,123.0,159.0,1.0,50.0,73.0
Pratteln,5827.0,369.0,3200.0,2783.0,15.0,4284.0
Pregny-Chambésy,1755.0,197.0,1236.0,0.0,515.0,150.0
Premier,0.0,37.0,60.0,0.0,27.0,108.0
Presinge,7.0,25.0,388.0,0.0,177.0,89.0
Prez,46.0,139.0,684.0,0.0,982.0,592.0
Prilly,4348.0,66.0,5798.0,3.0,499.0,746.0
Provence,4.0,47.0,133.0,0.0,58.0,201.0
Préverenges,2968.0,263.0,1487.0,25.0,250.0,167.0
Prévondavaux,0.0,0.0,28.0,0.0,18.0,51.0
Prévonloup,65.0,8.0,76.0,0.0,46.0,26.0
Puidoux,1125.0,268.0,1022.0,5.0,113.0,469.0
Pully,8179.0,237.0,8758.0,57.0,1022.0,745.0
Puplinge,213.0,264.0,1219.0,0.0,559.0,310.0
Pura,2.0,182.0,806.0,0.0,368.0,59.0
Péry-La Heutte,13.0,139.0,1245.0,0.0,308.0,243.0
Quarten,5.0,128.0,1402.0,2.0,680.0,861.0
Quinto,20.0,322.0,375.0,0.0,118.0,172.0
Radelfingen,4.0,65.0,383.0,10.0,268.0,551.0
Rafz,3.0,122.0,1620.0,21.0,1725.0,1218.0
Rain,3.0,90.0,1093.0,0.0,1208.0,546.0
Ramlinsburg,2.0,38.0,290.0,122.0,0.0,278.0
Ramsen,22.0,116.0,684.0,2.0,365.0,356.0
Rances,3.0,41.0,287.0,0.0,75.0,114.0
Randa,0.0,68.0,217.0,0.0,39.0,112.0
Raperswilen,4.0,14.0,166.0,0.0,68.0,179.0
Rapperswil (BE),14.0,87.0,1061.0,18.0,673.0,845.0
Rapperswil-Jona,11454.0,913.0,7334.0,69.0,6012.0,2151.0
Raron,28.0,214.0,999.0,0.0,388.0,325.0
Realp,0.0,1.0,108.0,0.0,28.0,13.0
Rebstein,1610.0,11.0,1410.0,6.0,577.0,1203.0
Rebévelier,0.0,0.0,13.0,0.0,8.0,26.0
Recherswil,966.0,59.0,491.0,9.0,388.0,196.0
Rechthalten,0.0,63.0,316.0,0.0,434.0,365.0
Reconvilier,37.0,76.0,1516.0,2.0,210.0,513.0
Regensberg,0.0,13.0,293.0,0.0,53.0,86.0
Regensdorf,3530.0,276.0,8975.0,18.0,4034.0,1681.0
Rehetobel,612.0,55.0,551.0,3.0,165.0,411.0
Reichenbach im Kandertal,3.0,293.0,1317.0,6.0,622.0,1547.0
Reichenburg,979.0,168.0,1737.0,0.0,479.0,679.0
Reiden,305.0,256.0,3348.0,64.0,1903.0,1559.0
Reigoldswil,13.0,90.0,654.0,234.0,0.0,589.0
Reinach (AG),305.0,265.0,5646.0,25.0,2170.0,670.0
Reinach (BL),7585.0,157.0,6453.0,2879.0,22.0,2087.0
Reisiswil,0.0,2.0,55.0,2.0,42.0,92.0
Reitnau,8.0,133.0,689.0,0.0,363.0,392.0
Remaufens,109.0,81.0,407.0,0.0,430.0,245.0
Remetschwil,6.0,124.0,1024.0,0.0,701.0,211.0
Remigen,0.0,140.0,389.0,0.0,586.0,269.0
Renan (BE),55.0,30.0,545.0,0.0,145.0,234.0
Renens (VD),9016.0,368.0,8842.0,183.0,840.0,1847.0
Rennaz,574.0,37.0,177.0,8.0,29.0,68.0
Reute (AR),102.0,23.0,242.0,2.0,121.0,287.0
Reutigen,0.0,45.0,379.0,0.0,122.0,497.0
Rheinau,0.0,71.0,660.0,0.0,365.0,212.0
Rheineck,1614.0,20.0,957.0,2.0,644.0,196.0
Rheinfelden,5103.0,551.0,2893.0,0.0,1009.0,4156.0
Rheinwald,0.0,71.0,111.0,0.0,60.0,334.0
Rhäzüns,0.0,26.0,786.0,0.0,498.0,329.0
Riaz,4.0,228.0,1131.0,0.0,630.0,897.0
Richterswil,6050.0,795.0,4067.0,0.0,2332.0,622.0
Rickenbach (BL),0.0,13.0,198.0,77.0,0.0,320.0
Rickenbach (LU),10.0,57.0,1576.0,6.0,1052.0,854.0
Rickenbach (SO),56.0,57.0,415.0,6.0,196.0,366.0
Rickenbach (TG),896.0,36.0,1287.0,0.0,156.0,388.0
Rickenbach (ZH),3.0,102.0,1406.0,5.0,996.0,292.0
Riddes,53.0,514.0,1442.0,0.0,1063.0,427.0
Ried bei Kerzers,6.0,28.0,409.0,0.0,492.0,308.0
Ried-Brig,11.0,244.0,1001.0,0.0,424.0,529.0
Riederalp,5.0,151.0,139.0,1.0,31.0,123.0
Riedholz,42.0,175.0,1150.0,0.0,571.0,419.0
Riehen,7980.0,197.0,2008.0,299.0,688.0,10525.0
Riemenstalden,0.0,0.0,11.0,0.0,2.0,76.0
Rifferswil,23.0,22.0,339.0,6.0,413.0,362.0
Riggisberg,11.0,104.0,1402.0,16.0,612.0,1037.0
Ringgenberg (BE),10.0,122.0,1402.0,68.0,426.0,564.0
Riniken,0.0,65.0,381.0,0.0,241.0,810.0
Risch,3238.0,315.0,3325.0,0.0,3058.0,1280.0
Riva San Vitale,713.0,372.0,958.0,5.0,505.0,108.0
Rivaz,227.0,5.0,83.0,0.0,4.0,13.0
Riviera,71.0,1083.0,1585.0,17.0,1244.0,290.0
Roche (VD),478.0,42.0,529.0,3.0,125.0,705.0
Rochefort,10.0,49.0,494.0,193.0,116.0,490.0
Roches (BE),0.0,3.0,135.0,0.0,13.0,47.0
Rodersdorf,0.0,22.0,812.0,2.0,277.0,301.0
Roggenburg,0.0,7.0,177.0,34.0,0.0,63.0
Roggliswil,6.0,23.0,250.0,0.0,243.0,251.0
Roggwil (BE),0.0,126.0,2247.0,26.0,1167.0,700.0
Roggwil (TG),274.0,75.0,1774.0,0.0,759.0,459.0
Rohrbach,0.0,87.0,665.0,0.0,269.0,531.0
Rohrbachgraben,0.0,8.0,77.0,0.0,39.0,291.0
Rolle,3526.0,282.0,1881.0,1.0,347.0,373.0
Romainmôtier-Envy,170.0,70.0,212.0,0.0,19.0,67.0
Romanel-sur-Lausanne,1405.0,249.0,1603.0,3.0,171.0,84.0
Romanel-sur-Morges,64.0,160.0,163.0,0.0,51.0,27.0
Romanshorn,4002.0,248.0,4342.0,7.0,1587.0,1334.0
Romont (BE),2.0,7.0,101.0,0.0,39.0,80.0
Romont (FR),393.0,439.0,2449.0,10.0,1277.0,903.0
Romoos,0.0,21.0,49.0,0.0,46.0,582.0
Ronco sopra Ascona,5.0,187.0,226.0,0.0,136.0,54.0
Rongellen,0.0,9.0,6.0,0.0,16.0,21.0
Root,19.0,227.0,2085.0,0.0,1712.0,1362.0
Ropraz,145.0,36.0,240.0,0.0,53.0,79.0
Rorbas,6.0,150.0,1488.0,7.0,960.0,269.0
Rorschach,2344.0,396.0,4276.0,0.0,1622.0,835.0
Rorschacherberg,2558.0,33.0,2014.0,8.0,2319.0,524.0
Rossa,0.0,67.0,25.0,1.0,8.0,71.0
Rossemaison,252.0,52.0,264.0,0.0,73.0,76.0
Rossenges,4.0,0.0,35.0,0.0,14.0,44.0
Rossinière,0.0,56.0,270.0,0.0,73.0,172.0
Rothenbrunnen,0.0,9.0,116.0,0.0,85.0,86.0
Rothenburg,1284.0,420.0,2246.0,372.0,2188.0,1300.0
Rothenfluh,7.0,46.0,209.0,106.0,0.0,406.0
Rothenthurm,0.0,272.0,798.0,0.0,474.0,1001.0
Rothrist,316.0,504.0,4574.0,1.0,3225.0,830.0
Rottenschwil,0.0,22.0,457.0,4.0,299.0,141.0
Rougemont,5.0,110.0,447.0,1.0,112.0,239.0
Roveredo (GR),9.0,770.0,1046.0,11.0,563.0,249.0
Rovray,53.0,12.0,55.0,4.0,34.0,51.0
Rubigen,227.0,195.0,1324.0,5.0,633.0,580.0
Rudolfstetten-Friedlisberg,16.0,179.0,3214.0,0.0,917.0,339.0
Rue,146.0,62.0,517.0,2.0,493.0,350.0
Rueyres,109.0,22.0,51.0,5.0,45.0,77.0
Rumendingen,0.0,2.0,21.0,0.0,10.0,55.0
Rumisberg,0.0,42.0,252.0,3.0,106.0,119.0
Rupperswil,872.0,342.0,2113.0,51.0,1768.0,637.0
Russikon,4.0,95.0,1950.0,9.0,1464.0,963.0
