Gemeinde,PaxGas,PaxElektrizität,PaxÖl,PaxKeine,PaxUnbestimmt,PaxWeitere
Cornaux,5.0,27.0,1123.0,0.0,269.0,187.0
Cornol,0.0,69.0,504.0,0.0,215.0,249.0
Corseaux,1318.0,32.0,704.0,3.0,172.0,106.0
Corsier (GE),837.0,94.0,965.0,0.0,338.0,90.0
Corsier-sur-Vevey,1445.0,146.0,1581.0,0.0,210.0,197.0
Cortaillod,2277.0,11.0,1557.0,3.0,475.0,457.0
Cortébert,0.0,28.0,460.0,0.0,57.0,162.0
Cossonay,3036.0,280.0,592.0,4.0,196.0,224.0
Cottens (FR),37.0,106.0,447.0,0.0,585.0,336.0
Courchapoix,0.0,0.0,228.0,0.0,85.0,143.0
Courchavon,0.0,17.0,140.0,4.0,65.0,86.0
Courgenay,0.0,163.0,1381.0,2.0,448.0,426.0
Courgevaux,38.0,93.0,518.0,0.0,510.0,302.0
Courrendlin,1032.0,110.0,1635.0,0.0,445.0,543.0
Courroux,439.0,259.0,1767.0,5.0,446.0,438.0
Court,0.0,40.0,983.0,9.0,199.0,208.0
Courtedoux,5.0,58.0,377.0,2.0,177.0,126.0
Courtelary,6.0,42.0,825.0,3.0,354.0,204.0
Courtepin,318.0,232.0,1876.0,0.0,2070.0,1030.0
Courtételle,73.0,167.0,1428.0,4.0,549.0,450.0
Crans (VD),13.0,554.0,1028.0,7.0,474.0,328.0
Crans-Montana,4011.0,824.0,3054.0,5.0,1790.0,806.0
Crassier,45.0,163.0,697.0,0.0,222.0,106.0
Cressier (FR),0.0,55.0,403.0,0.0,356.0,211.0
Cressier (NE),98.0,49.0,1302.0,0.0,161.0,286.0
Crissier,3580.0,598.0,2505.0,8.0,513.0,1447.0
Cronay,51.0,41.0,157.0,0.0,88.0,82.0
Croy,170.0,46.0,104.0,0.0,57.0,38.0
Crémines,0.0,33.0,323.0,0.0,62.0,124.0
Crésuz,2.0,31.0,230.0,1.0,86.0,83.0
Cuarnens,269.0,54.0,105.0,0.0,50.0,70.0
Cuarny,32.0,13.0,84.0,0.0,50.0,74.0
Cudrefin,25.0,165.0,656.0,2.0,780.0,254.0
Cugnasco-Gerra,15.0,582.0,1170.0,3.0,923.0,176.0
Cugy (FR),43.0,162.0,742.0,0.0,587.0,366.0
Cugy (VD),574.0,338.0,1244.0,12.0,314.0,234.0
Cureglia,416.0,213.0,490.0,0.0,314.0,80.0
Curio,3.0,163.0,259.0,0.0,153.0,25.0
Curtilles,56.0,42.0,130.0,0.0,39.0,47.0
Céligny,18.0,74.0,602.0,0.0,105.0,67.0
Dachsen,8.0,76.0,1011.0,6.0,714.0,137.0
Dagmersellen,228.0,159.0,2626.0,23.0,1647.0,1173.0
Daillens,95.0,150.0,439.0,0.0,247.0,130.0
Dallenwil,6.0,215.0,745.0,0.0,329.0,582.0
Dalpe,2.0,91.0,23.0,1.0,27.0,35.0
Damphreux-Lugnez,5.0,35.0,183.0,0.0,62.0,101.0
Dardagny,562.0,65.0,958.0,0.0,170.0,112.0
Davos,48.0,900.0,6673.0,2.0,1638.0,1515.0
Degersheim,1158.0,69.0,1132.0,5.0,1088.0,713.0
Deisswil bei Münchenbuchsee,0.0,4.0,0.0,0.0,16.0,70.0
Deitingen,833.0,85.0,734.0,0.0,445.0,206.0
Delley-Portalban,6.0,214.0,365.0,8.0,415.0,279.0
Delémont,5265.0,166.0,4721.0,46.0,969.0,1385.0
Denens,296.0,104.0,197.0,0.0,84.0,56.0
Denges,882.0,146.0,624.0,4.0,107.0,52.0
Densbüren,6.0,103.0,174.0,6.0,173.0,302.0
Derendingen,3572.0,138.0,1986.0,4.0,578.0,354.0
Develier,6.0,91.0,778.0,3.0,275.0,229.0
Diegten,0.0,88.0,684.0,343.0,0.0,554.0
Dielsdorf,253.0,126.0,3657.0,7.0,1683.0,276.0
Diemtigen,3.0,91.0,789.0,29.0,420.0,1056.0
Diepflingen,2.0,12.0,327.0,108.0,0.0,310.0
Diepoldsau,589.0,129.0,3755.0,17.0,1039.0,1206.0
Dierikon,3.0,234.0,663.0,0.0,451.0,268.0
Diessbach bei Büren,7.0,32.0,557.0,3.0,231.0,218.0
Diessenhofen,1110.0,314.0,1503.0,0.0,702.0,497.0
Dietikon,9751.0,440.0,8435.0,27.0,3763.0,5951.0
Dietlikon,2416.0,130.0,3254.0,15.0,1265.0,738.0
Dietwil,9.0,53.0,542.0,4.0,520.0,304.0
Dinhard,0.0,49.0,800.0,0.0,633.0,259.0
Dintikon,346.0,62.0,954.0,0.0,526.0,632.0
Disentis/Mustér,0.0,234.0,996.0,16.0,321.0,488.0
Dittingen,0.0,25.0,345.0,69.0,0.0,304.0
Dizy,143.0,8.0,18.0,0.0,25.0,34.0
Domat/Ems,424.0,180.0,4893.0,0.0,2227.0,534.0
Domleschg,30.0,77.0,619.0,8.0,673.0,845.0
Dompierre (VD),40.0,19.0,98.0,0.0,19.0,79.0
Donneloye,127.0,101.0,311.0,0.0,161.0,208.0
Doppleschwand,2.0,43.0,231.0,0.0,297.0,273.0
Dorf,0.0,48.0,225.0,0.0,241.0,190.0
Dornach,3247.0,145.0,1968.0,62.0,728.0,714.0
Dorénaz,0.0,194.0,371.0,0.0,290.0,254.0
Dottikon,269.0,291.0,1748.0,0.0,1208.0,458.0
Dotzigen,14.0,60.0,779.0,8.0,380.0,317.0
Dozwil,99.0,51.0,204.0,6.0,162.0,170.0
